layer,head,count,frequency
14,24,571,0.571
14,26,406,0.406
14,29,246,0.246
10,29,217,0.217
10,23,207,0.207
10,8,154,0.154
11,14,131,0.131
15,5,122,0.122
14,18,106,0.106
14,3,102,0.102
20,1,102,0.102
11,17,94,0.094
14,13,89,0.089
14,27,88,0.088
18,10,85,0.085
17,18,80,0.08
15,27,68,0.068
22,19,67,0.067
18,27,57,0.057
23,20,55,0.055
11,0,54,0.054
9,22,54,0.054
22,27,52,0.052
12,4,52,0.052
19,10,50,0.05
14,9,47,0.047
10,30,42,0.042
20,0,42,0.042
21,16,38,0.038
25,21,38,0.038
23,8,36,0.036
26,19,36,0.036
22,22,34,0.034
16,5,33,0.033
11,20,33,0.033
21,28,31,0.031
15,14,31,0.031
19,14,30,0.03
18,30,27,0.027
22,16,27,0.027
10,27,26,0.026
23,31,26,0.026
26,27,26,0.026
24,15,24,0.024
14,19,24,0.024
21,26,24,0.024
14,20,22,0.022
21,1,22,0.022
29,15,22,0.022
8,25,22,0.022
24,3,21,0.021
14,12,21,0.021
17,27,20,0.02
20,29,20,0.02
24,17,19,0.019
22,9,18,0.018
31,15,18,0.018
26,21,17,0.017
13,9,16,0.016
24,4,14,0.014
26,12,14,0.014
26,25,14,0.014
28,17,14,0.014
25,0,14,0.014
9,6,14,0.014
11,7,14,0.014
25,3,14,0.014
14,6,13,0.013
19,6,13,0.013
24,24,13,0.013
22,30,12,0.012
12,25,12,0.012
20,27,11,0.011
26,26,11,0.011
11,22,11,0.011
12,16,11,0.011
17,11,10,0.01
12,22,10,0.01
13,30,10,0.01
20,21,10,0.01
9,30,10,0.01
21,31,10,0.01
18,31,9,0.009
21,8,9,0.009
7,12,9,0.009
24,11,9,0.009
30,12,8,0.008
10,10,8,0.008
20,25,8,0.008
24,16,8,0.008
14,15,8,0.008
9,20,8,0.008
8,13,8,0.008
6,17,8,0.008
13,2,7,0.007
24,7,7,0.007
31,19,7,0.007
11,6,7,0.007
16,19,7,0.007
10,4,7,0.007
20,3,7,0.007
21,27,7,0.007
10,18,7,0.007
4,8,6,0.006
24,29,6,0.006
10,13,6,0.006
17,30,6,0.006
13,19,6,0.006
24,8,6,0.006
20,10,6,0.006
24,14,5,0.005
18,25,5,0.005
19,4,5,0.005
9,14,5,0.005
29,13,5,0.005
28,25,5,0.005
10,6,5,0.005
12,8,4,0.004
28,31,4,0.004
29,10,4,0.004
25,27,4,0.004
22,8,4,0.004
18,15,4,0.004
18,9,4,0.004
31,6,4,0.004
26,14,4,0.004
30,14,4,0.004
17,13,4,0.004
16,17,4,0.004
15,9,4,0.004
11,4,3,0.003
23,0,3,0.003
16,4,3,0.003
11,19,3,0.003
15,29,3,0.003
21,13,3,0.003
10,17,3,0.003
15,31,3,0.003
20,8,3,0.003
28,23,3,0.003
28,7,3,0.003
22,1,3,0.003
26,3,3,0.003
21,19,3,0.003
17,4,3,0.003
16,12,3,0.003
14,14,3,0.003
11,21,3,0.003
11,3,3,0.003
19,19,3,0.003
22,24,3,0.003
25,7,3,0.003
29,9,2,0.002
11,26,2,0.002
20,18,2,0.002
10,31,2,0.002
21,29,2,0.002
26,23,2,0.002
31,25,2,0.002
31,24,2,0.002
15,23,2,0.002
15,10,2,0.002
17,22,2,0.002
8,24,2,0.002
16,8,2,0.002
10,20,2,0.002
7,17,2,0.002
14,4,2,0.002
30,23,2,0.002
2,6,2,0.002
29,19,2,0.002
10,11,2,0.002
25,17,2,0.002
13,0,2,0.002
17,10,2,0.002
19,8,2,0.002
26,15,2,0.002
13,4,2,0.002
17,31,2,0.002
29,18,2,0.002
8,6,2,0.002
12,10,2,0.002
12,13,2,0.002
25,24,2,0.002
19,15,1,0.001
16,25,1,0.001
16,13,1,0.001
10,12,1,0.001
3,1,1,0.001
29,21,1,0.001
17,1,1,0.001
20,6,1,0.001
26,24,1,0.001
14,17,1,0.001
31,8,1,0.001
13,31,1,0.001
8,5,1,0.001
19,7,1,0.001
14,2,1,0.001
28,14,1,0.001
24,30,1,0.001
15,28,1,0.001
11,11,1,0.001
25,13,1,0.001
8,22,1,0.001
19,17,1,0.001
31,14,1,0.001
11,15,1,0.001
20,17,1,0.001
2,19,1,0.001
28,21,1,0.001
16,9,1,0.001
31,0,1,0.001
16,22,1,0.001
13,24,1,0.001
7,19,1,0.001
14,7,1,0.001
24,1,1,0.001
31,21,1,0.001
21,9,1,0.001
29,23,1,0.001
7,4,1,0.001
27,25,1,0.001
15,24,1,0.001
31,16,1,0.001
11,30,1,0.001
12,11,1,0.001
2,25,1,0.001
17,20,1,0.001
19,20,1,0.001
31,17,1,0.001
3,31,1,0.001
18,21,1,0.001
12,30,1,0.001
11,31,1,0.001
11,29,1,0.001
27,4,1,0.001
9,12,1,0.001
21,10,1,0.001
23,7,1,0.001
8,14,1,0.001
